tomb,cemetery,cem_condensed,looted
1,NC,KNC,Disturbed
2,NC,KNC,Looted
8,NC,KNC,Disturbed
9,NC,KNC,Disturbed
13,NC,KNC,Looted
14,NC,KNC,Looted
16,NC,KNC,Disturbed
18,NC,KNC,Unlooted
19,NC,KNC,Looted
24,NC,KNC,Looted
25,NC,KNC,Looted
26,NC,KNC,Unclear
28,NC,KNC,Unlooted
30,NC,KNC,Looted
31,NC,KNC,Looted
34,NC,KNC,Looted
40,NC,KNC,Looted
44,NC,KNC,Disturbed
45,NC,KNC,Disturbed
48,NC,KNC,Possibly looted
55,NC,KNC,Disturbed
56,NC,KNC,Looted
57,NC,KNC,Looted
59,NC,KNC,Disturbed
60,NC,KNC,Looted
61,NC,KNC,Looted
63,NC,KNC,Unclear
69,NC,KNC,Unclear
75,NC,KNC,Unlooted
76,NC,KNC,Disturbed
78,NC,KNC,Disturbed
79,NC,KNC,Disturbed
80,NC,KNC,Unclear
82,NC,KNC,Looted
85,NC,KNC,Disturbed
86,NC,KNC,Looted
98,NC,KNC,Disturbed
100,NC,KNC,Disturbed
103,NC,KNC,Disturbed
104,NC,KNC,Disturbed
105,NC,KNC,Unclear
106,NC,KNC,Disturbed
107,NC,KNC,Disturbed
111,NC,KNC,Unlooted
112,NC,KNC,Disturbed
113,NC,KNC,Disturbed
121,NC,KNC,Unclear
123,NC,KNC,Unclear
125,NC,KNC,Looted
126,NC,KNC,Disturbed
129,NC,KNC,Looted
132,NC,KNC,Looted
134,NC,KNC,Disturbed
135,NC,KNC,Disturbed
138,NC,KNC,Disturbed
146,NC,KNC,Looted
147,NC,KNC,Disturbed
149,NC,KNC,Looted
152,NC,KNC,Looted
153,NC,KNC,Unclear
159,NC,KNC,Unclear
160,NC,KNC,Disturbed
163,NC,KNC,Disturbed
168,NC,KNC,Looted
175,NC,KNC,Looted
176,NC,KNC,Unclear
182,NC,KNC,Unclear
186,NC,KNC,Unlooted
200,NC,KNC,Unlooted
201,NC,KNC,Unlooted
202,NC,KNC,Unlooted
207,NC,KNC,Looted
208,NC,KNC,Looted
218,NC,KNC,Unlooted
219,NC,KNC,Disturbed
221,NC,KNC,Looted
222,NC,KNC,Looted
229,NC,KNC,Unlooted
242,NC,KNC,Disturbed
247,NC,KNC,Disturbed
280,NC,KNC,Unlooted
282,NC,KNC,Looted
283,NC,KNC,Looted
285,NC,KNC,Looted
286,NC,KNC,Looted
287,NC,KNC,Looted
292,NC,KNC,Looted
294,NC,KNC,Looted
306,NC,KNC,Looted
A,TK,KNC,Unclear
B,TK,KNC,Unclear
D,TK,KNC,Looted
E,TK,KNC,Disturbed
F,FOR,FOR,Unclear
F1,TK,KNC,Looted
G,TK,KNC,Disturbed
H,TK,KNC,Looted
II,FOR,FOR,Unclear
III,FOR,FOR,Unclear
IV,FOR,FOR,Possibly looted
IX,FOR,FOR,Disturbed
J,TK,KNC,Unlooted
K,TK,KNC,Disturbed
L,FOR,FOR,Unclear
L1,TK,KNC,Looted
LST,FOR,FOR,Disturbed
M,TK,KNC,Looted
N,TK,KNC,Looted
O,TK,KNC,Looted
OD,FOR,FOR,Unclear
P,FOR,FOR,Unclear
P2,FOR,FOR,Unclear
Q,TK,KNC,Looted
TFT,FOR,FOR,Unclear
V,FOR,FOR,Possibly looted
VI,FOR,FOR,Unclear
VII,FOR,FOR,Unclear
VIII,FOR,FOR,Looted
X,FOR,FOR,Unclear
XI,FOR,FOR,Unclear
Theta,FOR,FOR,Disturbed
Pi,FOR,FOR,Looted
Koppa,FOR,FOR,Unclear
